21 	 CH 	note:  1/8 	onset :  61.127
21 	 B+CH 	note:  1/8 	onset :  61.498
21 	 B+CH 	note:  1/8 	onset :  61.870
21 	 S+CH 	note:  1/8 	onset :  62.253
22 	 CH 	note:  1/8 	onset :  62.624
22 	 B+CH 	note:  1/8 	onset :  62.996
22 	 CH 	note:  1/8 	onset :  63.367
22 	 S+CH 	note:  1/8 	onset :  63.739
22 	 CH 	note:  1/8 	onset :  64.122
22 	 B+CH 	note:  1/8 	onset :  64.493
22 	 B+CH 	note:  1/8 	onset :  64.877
22 	 S+CH 	note:  1/8 	onset :  65.248
23 	 CH 	note:  1/8 	onset :  65.620
23 	 B+CH 	note:  1/8 	onset :  66.003
23 	 CH 	note:  1/8 	onset :  66.374
23 	 S+CH 	note:  1/8 	onset :  66.734
23 	 CH 	note:  1/8 	onset :  67.117
23 	 B+CH 	note:  1/8 	onset :  67.500
23 	 B+CH 	note:  1/8 	onset :  67.872
23 	 S+CH 	note:  1/8 	onset :  68.243
24 	 CH 	note:  1/8 	onset :  68.627
24 	 S 	note:  1/24 	onset :  68.998
24 	 S 	note:  1/8 	onset :  69.149
24 	 MT 	note:  1/8 	onset :  69.555
24 	 B 	note:  1/16 	onset :  69.939
24 	 B+FT 	note:  1/8 	onset :  70.113
24 	 B+C 	note:  ?	 	onset :  70.496
26 	 CH 	note:  1/4 	onset :  74.989
26 	 CH 	note:  1/4 	onset :  75.720
26 	 CH 	note:  1/4 	onset :  76.475
26 	 S 	note:  1/16 	onset :  77.218
26 	 S 	note:  1/16 	onset :  77.427
26 	 MT 	note:  1/8 	onset :  77.624
27 	 B+C 	note:  1/8 	onset :  77.996
27 	 CH 	note:  1/8 	onset :  78.367
27 	 S+CH 	note:  1/8 	onset :  78.750
27 	 CH 	note:  1/8 	onset :  79.122
27 	 B+CH 	note:  1/8 	onset :  79.494
27 	 CH 	note:  1/8 	onset :  79.865
27 	 S+CH 	note:  1/8 	onset :  80.237
27 	 CH 	note:  1/8 	onset :  80.620
28 	 B+CH 	note:  1/8 	onset :  81.003
28 	 CH 	note:  1/8 	onset :  81.374
28 	 S+CH 	note:  1/8 	onset :  81.746
28 	 CH 	note:  1/8 	onset :  82.117
28 	 B+CH 	note:  1/8 	onset :  82.500
28 	 B+CH 	note:  1/8 	onset :  82.872
28 	 S+CH 	note:  1/8 	onset :  83.244
28 	 CH 	note:  1/8 	onset :  83.627
29 	 B+CH 	note:  1/8 	onset :  83.998
29 	 CH 	note:  1/8 	onset :  84.370
29 	 S+CH 	note:  1/8 	onset :  84.753
29 	 CH 	note:  1/8 	onset :  85.124
29 	 B+CH 	note:  1/8 	onset :  85.496
29 	 CH 	note:  1/8 	onset :  85.867
29 	 S+CH 	note:  1/8 	onset :  86.251
29 	 CH 	note:  1/8 	onset :  86.622
30 	 B+CH 	note:  1/8 	onset :  86.994
30 	 CH 	note:  1/8 	onset :  87.377
30 	 S+CH 	note:  1/8 	onset :  87.737
30 	 CH 	note:  1/8 	onset :  88.120
30 	 B+CH 	note:  1/8 	onset :  88.503
30 	 B+CH 	note:  1/8 	onset :  88.874
30 	 S+CH 	note:  1/8 	onset :  89.246
30 	 CH 	note:  1/8 	onset :  89.617
31 	 B+CH 	note:  1/8 	onset :  90.001
31 	 CH 	note:  1/8 	onset :  90.372
31 	 S+CH 	note:  1/8 	onset :  90.732
31 	 CH 	note:  1/8 	onset :  91.127
31 	 B+CH 	note:  1/8 	onset :  91.498
31 	 CH 	note:  1/8 	onset :  91.870
31 	 S+CH 	note:  1/8 	onset :  92.253
31 	 CH 	note:  1/8 	onset :  92.624
32 	 B+CH 	note:  1/8 	onset :  92.996
32 	 CH 	note:  1/8 	onset :  93.367
