21 	 B+CH 	note:  1/8 	onset :  65.271
21 	 S+CH 	note:  1/8 	onset :  65.678
21 	 CH 	note:  1/8 	onset :  66.084
21 	 B+CH 	note:  1/8 	onset :  66.490
21 	 S 	note:  1/16 	onset :  66.688
21 	 B+CH 	note:  1/24 	onset :  66.839
21 	 B 	note:  1/16 	onset :  67.082
21 	 S+B+CH 	note:  1/16 	onset :  67.280
21 	 CH 	note:  1/8 	onset :  67.675
22 	 B+CH 	note:  1/8 	onset :  68.093
22 	 B+CH 	note:  1/8 	onset :  68.510
22 	 S+CH 	note:  1/8 	onset :  68.917
22 	 CH 	note:  1/8 	onset :  69.300
22 	 B+CH 	note:  1/8 	onset :  69.730
22 	 S 	note:  1/16 	onset :  69.939
22 	 B+CH 	note:  1/16 	onset :  70.136
22 	 B 	note:  1/16 	onset :  70.345
22 	 S+B+CH 	note:  1/16 	onset :  70.519
22 	 CH 	note:  1/8 	onset :  70.914
23 	 B+CH 	note:  1/8 	onset :  71.355
23 	 B+CH 	note:  1/8 	onset :  71.726
23 	 S+CH 	note:  1/8 	onset :  72.133
23 	 CH 	note:  1/8 	onset :  72.539
23 	 B+CH 	note:  1/8 	onset :  72.969
23 	 S 	note:  1/16 	onset :  73.178
23 	 B+CH 	note:  1/16 	onset :  73.352
23 	 B 	note:  1/16 	onset :  73.561
23 	 S+CH 	note:  1/16 	onset :  73.770
23 	 CH 	note:  1/8 	onset :  74.165
24 	 B+CH 	note:  1/8 	onset :  74.571
24 	 B+CH 	note:  1/8 	onset :  75.000
24 	 S+CH 	note:  1/8 	onset :  75.407
24 	 CH 	note:  1/8 	onset :  75.813
24 	 B+CH 	note:  1/8 	onset :  76.220
24 	 S 	note:  1/16 	onset :  76.417
24 	 B+CH 	note:  1/24 	onset :  76.568
24 	 B 	note:  1/16 	onset :  76.800
24 	 B+FT 	note:  1/16 	onset :  77.009
24 	 B+FT 	note:  1/16 	onset :  77.206
24 	 B+FT 	note:  1/16 	onset :  77.404
25 	 B+C 	note:  1/8 	onset :  77.810
25 	 B+CH 	note:  1/8 	onset :  78.240
25 	 S+CH 	note:  1/8 	onset :  78.646
25 	 CH 	note:  1/8 	onset :  79.052
25 	 B+CH 	note:  1/8 	onset :  79.459
25 	 S 	note:  1/16 	onset :  79.668
25 	 B+CH 	note:  1/16 	onset :  79.865
25 	 B 	note:  1/16 	onset :  80.051
25 	 S+B+CH 	note:  1/16 	onset :  80.248
25 	 CH 	note:  1/8 	onset :  80.643
26 	 B+CH 	note:  1/8 	onset :  81.084
26 	 B+CH 	note:  1/8 	onset :  81.490
26 	 S+CH 	note:  1/8 	onset :  81.862
26 	 CH 	note:  1/8 	onset :  82.268
26 	 B+CH 	note:  1/8 	onset :  82.686
26 	 S 	note:  1/16 	onset :  82.907
26 	 B+CH 	note:  1/16 	onset :  83.081
26 	 B 	note:  1/16 	onset :  83.290
26 	 S+B+CH 	note:  1/16 	onset :  83.499
26 	 CH 	note:  1/8 	onset :  83.894
27 	 B+CH 	note:  1/8 	onset :  84.323
27 	 B+CH 	note:  1/8 	onset :  84.730
27 	 S+CH 	note:  1/8 	onset :  85.136
27 	 CH 	note:  1/8 	onset :  85.542
27 	 B+CH 	note:  1/8 	onset :  85.949
27 	 S 	note:  1/16 	onset :  86.146
27 	 B+CH 	note:  1/16 	onset :  86.355
27 	 B 	note:  1/16 	onset :  86.529
27 	 S+CH 	note:  1/16 	onset :  86.738
27 	 CH 	note:  1/8 	onset :  87.133
28 	 B+CH 	note:  1/8 	onset :  87.551
28 	 B+CH 	note:  1/8 	onset :  87.946
28 	 S+CH 	note:  1/8 	onset :  88.375
28 	 CH 	note:  1/8 	onset :  88.758
28 	 B+CH 	note:  1/8 	onset :  89.188
28 	 S 	note:  1/16 	onset :  89.397
28 	 B+CH 	note:  1/16 	onset :  89.594
28 	 B 	note:  1/16 	onset :  89.768
28 	 S 	note:  1/16 	onset :  89.977
28 	 MT 	note:  1/16 	onset :  90.175
28 	 B 	note:  1/16 	onset :  90.407
29 	 B+C 	note:  1/8 	onset :  90.790
29 	 B+CH 	note:  1/8 	onset :  91.220
29 	 S+CH 	note:  1/8 	onset :  91.626
29 	 CH 	note:  1/8 	onset :  92.032
29 	 B+CH 	note:  1/8 	onset :  92.404
29 	 S+R 	note:  1/16 	onset :  92.636
29 	 B+CH 	note:  1/16 	onset :  92.833
29 	 B 	note:  1/16 	onset :  93.031
29 	 S+B+CH 	note:  1/16 	onset :  93.228
29 	 CH 	note:  1/8 	onset :  93.623
30 	 B+CH 	note:  1/8 	onset :  94.041
30 	 B+CH 	note:  1/8 	onset :  94.459
30 	 S+CH 	note:  1/8 	onset :  94.865
30 	 CH 	note:  1/8 	onset :  95.271
30 	 B+CH 	note:  1/8 	onset :  95.678
30 	 S 	note:  1/16 	onset :  95.875
30 	 B+CH 	note:  1/16 	onset :  96.084
30 	 B 	note:  1/16 	onset :  96.258
30 	 S+CH 	note:  1/16 	onset :  96.467
30 	 CH 	note:  1/8 	onset :  96.862
31 	 B+C 	note:  1/8 	onset :  97.280
31 	 B+CH 	note:  1/8 	onset :  97.675
31 	 S+CH 	note:  1/8 	onset :  98.104
31 	 CH 	note:  1/8 	onset :  98.511
31 	 B+CH 	note:  1/8 	onset :  98.917
31 	 S 	note:  1/16 	onset :  99.126
31 	 B+CH 	note:  1/16 	onset :  99.323
31 	 B 	note:  1/16 	onset :  99.498
31 	 S+B+CH 	note:  1/16 	onset :  99.706
31 	 CH 	note:  1/8 	onset :  100.101
32 	 B+CH 	note:  1/8 	onset :  100.542
32 	 B+CH 	note:  1/8 	onset :  100.949
32 	 S+CH 	note:  1/8 	onset :  101.355
32 	 CH 	note:  1/8 	onset :  101.727
32 	 S 	note:  1/8 	onset :  102.168
32 	 S 	note:  1/16 	onset :  102.342
32 	 S 	note:  1/16 	onset :  102.551
32 	 B+FT 	note:  1/8 	onset :  102.946
32 	 B+FT 	note:  1/16 	onset :  103.166
32 	 B+FT 	note:  1/16 	onset :  103.352
33 	 B+C 	note:  1/8 	onset :  103.770
33 	 S+FT 	note:  1/8 	onset :  104.188
33 	 B+C 	note:  1/16 	onset :  104.397
33 	 B+C 	note:  3/16 	onset :  104.954
33 	 MT 	note:  1/8 	onset :  105.407
33 	 MT 	note:  1/16 	onset :  105.593
33 	 B+R 	note:  1/16 	onset :  105.813
33 	 B+FT 	note:  1/16 	onset :  105.999
33 	 B 	note:  1/16 	onset :  106.220
33 	 B+FT 	note:  1/16 	onset :  106.405
